frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_23.apx,	50,2,True,27,912,30,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_39.apx,	50,2,True,30,950,8,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_121.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_11.apx,	50,1,True,41,1089,0,1,True,41,1089,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_96.apx,	50,2,True,30,939,1,2,True,30,939,1
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_115.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_127.apx,	50,1,True,42,1097,0,1,True,42,1097,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_84.apx,	50,3,True,25,859,21,3,True,25,859,21
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_107.apx,	50,1,True,28,894,0,1,True,28,894,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_48.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_76.apx,	50,1,True,40,1080,0,1,True,40,1080,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_131.apx,	50,2,True,29,940,17,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_42.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_97.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_68.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_2.apx,	50,3,True,22,829,59,3,True,22,829,59
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_114.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_78.apx,	50,1,True,41,1089,0,1,True,41,1089,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_29.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_61.apx,	50,2,True,26,899,37,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_99.apx,	50,2,True,24,840,29,1,True,29,915,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_15.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_116.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_46.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_57.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_79.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_98.apx,	50,1,True,45,1115,0,1,True,45,1115,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_62.apx,	50,1,True,42,1097,0,1,True,42,1097,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_3.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_43.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_4.apx,	50,2,True,32,980,2,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_133.apx,	50,1,True,46,1119,0,1,True,46,1119,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_72.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_123.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_59.apx,	50,1,True,50,1125,0,1,True,50,1125,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_50.apx,	50,1,True,47,1122,0,1,True,47,1122,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_16.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_18.apx,	50,2,True,28,933,31,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_71.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_137.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_150.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_30.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_117.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_37.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_101.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_122.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_34.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_54.apx,	50,1,True,42,1097,0,1,True,42,1097,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_109.apx,	50,3,True,23,877,80,2,True,30,947,4
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_141.apx,	50,1,True,45,1115,0,1,True,45,1115,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_95.apx,	50,12,True,25,843,7,12,True,25,843,7
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_19.apx,	50,1,True,31,954,0,1,True,31,954,0
