frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp_wa2/WS_4_0.66/WS_4_0.66_177.apx,	50,15104,True,3,152,15,15104,True,3,152,15
exp_wa2/WS_4_0.66/WS_4_0.66_135.apx,	50,3232,True,7,318,11,3232,True,7,318,11
exp_wa2/WS_4_0.66/WS_4_0.66_27.apx,	50,2736,True,8,340,0,2736,True,8,340,0
exp_wa2/WS_4_0.66/WS_4_0.66_55.apx,	50,25696,True,0,17,17,25696,True,0,17,17
exp_wa2/WS_4_0.66/WS_4_0.66_80.apx,	50,17920,True,3,146,9,17920,True,3,146,9
exp_wa2/WS_4_0.66/WS_4_0.66_46.apx,	50,10176,True,5,225,4,10176,True,5,225,4
exp_wa2/WS_4_0.66/WS_4_0.66_107.apx,	50,3840,True,5,230,9,3840,True,5,230,9
exp_wa2/WS_4_0.66/WS_4_0.66_115.apx,	50,2304,True,8,344,1,2304,True,8,344,1
exp_wa2/WS_4_0.66/WS_4_0.66_20.apx,	50,9612,True,4,183,5,9612,True,4,183,5
exp_wa2/WS_4_0.66/WS_4_0.66_108.apx,	50,10080,True,2,95,4,10080,True,2,95,4
exp_wa2/WS_4_0.66/WS_4_0.66_188.apx,	50,1176,True,7,312,10,1176,True,7,312,10
exp_wa2/WS_4_0.66/WS_4_0.66_154.apx,	50,2620,True,2,111,20,2620,True,2,111,20
exp_wa2/WS_4_0.66/WS_4_0.66_13.apx,	50,3016,True,4,191,11,3016,True,4,191,11
exp_wa2/WS_4_0.66/WS_4_0.66_86.apx,	50,2240,True,9,384,0,2240,True,9,384,0
exp_wa2/WS_4_0.66/WS_4_0.66_2.apx,	50,5696,True,2,96,7,5696,True,2,96,7
exp_wa2/WS_4_0.66/WS_4_0.66_26.apx,	50,3808,True,5,235,13,3808,True,5,235,13
exp_wa2/WS_4_0.66/WS_4_0.66_48.apx,	50,10992,True,3,146,11,10992,True,3,146,11
exp_wa2/WS_4_0.66/WS_4_0.66_72.apx,	50,1792,True,5,219,3,1792,True,5,219,3
exp_wa2/WS_4_0.66/WS_4_0.66_60.apx,	50,2048,True,6,268,8,2048,True,6,268,8
exp_wa2/WS_4_0.66/WS_4_0.66_134.apx,	50,13400,True,6,268,3,13400,True,6,268,3
exp_wa2/WS_4_0.66/WS_4_0.66_103.apx,	50,5916,True,4,188,9,5916,True,4,188,9
exp_wa2/WS_4_0.66/WS_4_0.66_76.apx,	50,NaN,NaN,NaN,NaN,NaN,33200,True,1,54,9
exp_wa2/WS_4_0.66/WS_4_0.66_110.apx,	50,14784,True,3,141,6,14784,True,3,141,6
exp_wa2/WS_4_0.66/WS_4_0.66_93.apx,	50,8800,True,3,148,14,8800,True,3,148,14
exp_wa2/WS_4_0.66/WS_4_0.66_73.apx,	50,9520,True,4,187,7,9520,True,4,187,7
exp_wa2/WS_4_0.66/WS_4_0.66_81.apx,	50,3968,True,6,262,3,3968,True,6,262,3
exp_wa2/WS_4_0.66/WS_4_0.66_185.apx,	50,7608,True,0,32,32,7608,True,0,32,32
exp_wa2/WS_4_0.66/WS_4_0.66_58.apx,	50,5088,True,7,304,1,5088,True,7,304,1
exp_wa2/WS_4_0.66/WS_4_0.66_11.apx,	50,6336,True,5,229,4,6336,True,5,229,4
exp_wa2/WS_4_0.66/WS_4_0.66_10.apx,	50,5802,True,5,239,13,5802,True,5,239,13
exp_wa2/WS_4_0.66/WS_4_0.66_75.apx,	50,1296,True,8,343,5,1296,True,8,343,5
exp_wa2/WS_4_0.66/WS_4_0.66_105.apx,	50,21472,True,4,186,5,21472,True,4,186,5
exp_wa2/WS_4_0.66/WS_4_0.66_155.apx,	50,4320,True,3,153,15,4320,True,3,153,15
exp_wa2/WS_4_0.66/WS_4_0.66_7.apx,	50,2268,True,7,309,4,2268,True,7,309,4
exp_wa2/WS_4_0.66/WS_4_0.66_70.apx,	50,5500,True,5,241,18,5500,True,5,241,18
exp_wa2/WS_4_0.66/WS_4_0.66_9.apx,	50,6314,True,5,230,6,6314,True,5,230,6
exp_wa2/WS_4_0.66/WS_4_0.66_151.apx,	50,13392,True,2,100,9,13392,True,2,100,9
exp_wa2/WS_4_0.66/WS_4_0.66_152.apx,	50,6912,True,5,232,10,6912,True,5,232,10
exp_wa2/WS_4_0.66/WS_4_0.66_180.apx,	50,7224,True,4,194,16,7224,True,4,194,16
exp_wa2/WS_4_0.66/WS_4_0.66_43.apx,	50,14280,True,3,145,9,14280,True,3,145,9
exp_wa2/WS_4_0.66/WS_4_0.66_17.apx,	50,1456,True,8,351,5,1456,True,8,351,5
exp_wa2/WS_4_0.66/WS_4_0.66_8.apx,	50,2544,True,7,312,8,2544,True,7,312,8
exp_wa2/WS_4_0.66/WS_4_0.66_35.apx,	50,23310,True,2,102,11,23310,True,2,102,11
exp_wa2/WS_4_0.66/WS_4_0.66_104.apx,	50,4160,True,3,145,8,4160,True,3,145,8
exp_wa2/WS_4_0.66/WS_4_0.66_184.apx,	50,12624,True,3,150,13,12624,True,3,150,13
exp_wa2/WS_4_0.66/WS_4_0.66_37.apx,	50,1734,True,9,387,2,1734,True,9,387,2
exp_wa2/WS_4_0.66/WS_4_0.66_117.apx,	50,12288,True,3,146,11,12288,True,3,146,11
exp_wa2/WS_4_0.66/WS_4_0.66_6.apx,	50,2016,True,4,201,21,2016,True,4,201,21
exp_wa2/WS_4_0.66/WS_4_0.66_99.apx,	50,11976,True,0,18,18,11976,True,0,18,18
exp_wa2/WS_4_0.66/WS_4_0.66_78.apx,	50,1632,True,7,311,8,1632,True,7,311,8
exp_wa2/WS_4_0.66/WS_4_0.66_113.apx,	50,816,True,7,308,8,816,True,7,308,8
exp_wa2/WS_4_0.66/WS_4_0.66_142.apx,	50,2824,True,4,183,7,2824,True,4,183,7
exp_wa2/WS_4_0.66/WS_4_0.66_94.apx,	50,13888,True,1,64,17,13888,True,1,64,17
exp_wa2/WS_4_0.66/WS_4_0.66_162.apx,	50,8640,True,6,275,10,8640,True,6,275,10
exp_wa2/WS_4_0.66/WS_4_0.66_14.apx,	50,5040,True,4,190,10,5040,True,4,190,10
exp_wa2/WS_4_0.66/WS_4_0.66_159.apx,	50,6992,True,5,231,7,6992,True,5,231,7
exp_wa2/WS_4_0.66/WS_4_0.66_83.apx,	50,3840,True,6,272,9,3840,True,6,272,9
exp_wa2/WS_4_0.66/WS_4_0.66_96.apx,	50,2752,True,6,270,8,2752,True,6,270,8
exp_wa2/WS_4_0.66/WS_4_0.66_65.apx,	50,7560,True,2,97,5,7560,True,2,97,5
exp_wa2/WS_4_0.66/WS_4_0.66_40.apx,	50,20800,True,1,60,13,20800,True,1,60,13
exp_wa2/WS_4_0.66/WS_4_0.66_89.apx,	50,4788,True,3,153,15,4788,True,3,153,15
exp_wa2/WS_4_0.66/WS_4_0.66_95.apx,	50,6912,True,5,222,2,6912,True,5,222,2
