frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp1/BA_0.33/BA_0.33_6.apx,	51,12,True,11,452,0,12,True,11,452,0
exp1/BA_0.33/BA_0.33_35.apx,	51,108,True,11,462,3,108,True,11,462,3
exp1/BA_0.33/BA_0.33_22.apx,	51,32,True,9,370,0,32,True,9,370,0
exp1/BA_0.33/BA_0.33_4.apx,	51,6,True,11,466,9,6,True,11,466,9
exp1/BA_0.33/BA_0.33_7.apx,	51,6,True,14,569,1,6,True,14,569,1
exp1/BA_0.33/BA_0.33_25.apx,	51,12,True,9,377,4,12,True,9,377,4
exp1/BA_0.33/BA_0.33_29.apx,	51,16,True,9,377,4,16,True,9,377,4
exp1/BA_0.33/BA_0.33_30.apx,	51,8,True,13,525,0,8,True,13,525,0
exp1/BA_0.33/BA_0.33_28.apx,	51,16,True,11,451,0,16,True,11,451,0
exp1/BA_0.33/BA_0.33_9.apx,	51,256,True,6,251,0,256,True,6,251,0
exp1/BA_0.33/BA_0.33_13.apx,	51,32,True,15,608,1,32,True,15,608,1
exp1/BA_0.33/BA_0.33_18.apx,	51,160,True,7,296,1,160,True,7,296,1
exp1/BA_0.33/BA_0.33_3.apx,	51,72,True,7,299,5,72,True,7,299,5
exp1/BA_0.33/BA_0.33_24.apx,	51,4,True,11,447,0,4,True,11,447,0
exp1/BA_0.33/BA_0.33_11.apx,	51,32,True,7,297,5,32,True,7,297,5
exp1/BA_0.33/BA_0.33_5.apx,	51,64,True,8,330,0,64,True,8,330,0
exp1/BA_0.33/BA_0.33_8.apx,	51,48,True,12,493,0,48,True,12,493,0
exp1/BA_0.33/BA_0.33_38.apx,	51,32,True,7,309,11,32,True,7,309,11
exp1/BA_0.33/BA_0.33_26.apx,	51,24,True,10,420,2,24,True,10,420,2
exp1/BA_0.33/BA_0.33_10.apx,	51,80,True,10,431,6,80,True,10,431,6
exp1/BA_0.33/BA_0.33_37.apx,	51,24,True,8,334,2,24,True,8,334,2
exp1/BA_0.33/BA_0.33_14.apx,	51,8,True,11,451,1,8,True,11,451,1
exp1/BA_0.33/BA_0.33_17.apx,	51,24,True,11,455,1,24,True,11,455,1
exp1/BA_0.33/BA_0.33_31.apx,	51,8,True,12,489,0,8,True,12,489,0
exp1/BA_0.33/BA_0.33_40.apx,	51,8,True,10,409,0,8,True,10,409,0
exp1/BA_0.33/BA_0.33_15.apx,	51,12,True,11,456,2,12,True,11,456,2
exp1/BA_0.33/BA_0.33_39.apx,	51,20,True,12,496,0,20,True,12,496,0
exp1/BA_0.33/BA_0.33_32.apx,	51,2,True,12,486,0,2,True,12,486,0
exp1/BA_0.33/BA_0.33_34.apx,	51,160,True,8,351,7,160,True,8,351,7
exp1/BA_0.33/BA_0.33_2.apx,	51,8,True,15,599,0,8,True,15,599,0
exp1/BA_0.33/BA_0.33_36.apx,	51,16,True,14,569,1,16,True,14,569,1
exp1/BA_0.33/BA_0.33_16.apx,	51,16,True,12,489,0,16,True,12,489,0
exp1/ER_0.33/ER_0.33_19.apx,	51,1,True,51,849,0,1,True,51,849,0
exp1/ER_0.33/ER_0.33_12.apx,	51,1,True,51,857,0,1,True,51,857,0
exp1/ER_0.33/ER_0.33_23.apx,	51,1,True,51,873,0,1,True,51,873,0
exp1/ER_0.33/ER_0.33_15.apx,	51,2,True,38,768,4,2,True,38,768,4
exp1/ER_0.33/ER_0.33_29.apx,	51,1,True,51,849,0,1,True,51,849,0
exp1/ER_0.33/ER_0.33_38.apx,	51,1,True,51,878,0,1,True,51,878,0
exp1/ER_0.33/ER_0.33_31.apx,	51,1,True,43,823,0,1,True,43,823,0
exp1/ER_0.33/ER_0.33_32.apx,	51,1,True,51,845,0,1,True,51,845,0
exp1/ER_0.33/ER_0.33_7.apx,	51,1,True,51,849,0,1,True,51,849,0
exp1/ER_0.33/ER_0.33_1.apx,	51,1,True,51,878,0,1,True,51,878,0
exp1/ER_0.33/ER_0.33_8.apx,	51,1,True,51,874,0,1,True,51,874,0
exp1/ER_0.33/ER_0.33_10.apx,	51,1,True,43,805,0,1,True,43,805,0
exp1/ER_0.33/ER_0.33_39.apx,	51,1,True,51,854,0,1,True,51,854,0
exp1/ER_0.33/ER_0.33_26.apx,	51,1,True,51,825,0,1,True,51,825,0
exp1/ER_0.33/ER_0.33_4.apx,	51,1,True,41,836,0,1,True,41,836,0
exp1/ER_0.33/ER_0.33_17.apx,	51,1,True,51,832,0,1,True,51,832,0
exp1/ER_0.33/ER_0.33_37.apx,	51,1,True,41,820,0,1,True,41,820,0
exp1/ER_0.33/ER_0.33_13.apx,	51,1,True,51,850,0,1,True,51,850,0
exp1/ER_0.33/ER_0.33_21.apx,	51,1,True,41,824,0,1,True,41,824,0
exp1/ER_0.33/ER_0.33_9.apx,	51,1,True,43,832,0,1,True,43,832,0
exp1/ER_0.33/ER_0.33_33.apx,	51,1,True,51,876,0,1,True,51,876,0
exp1/ER_0.33/ER_0.33_6.apx,	51,1,True,51,837,0,1,True,51,837,0
exp1/ER_0.33/ER_0.33_35.apx,	51,1,True,51,882,0,1,True,51,882,0
exp1/ER_0.33/ER_0.33_14.apx,	51,1,True,42,791,0,1,True,42,791,0
exp1/ER_0.33/ER_0.33_3.apx,	51,1,True,51,869,0,1,True,51,869,0
exp1/ER_0.33/ER_0.33_18.apx,	51,1,True,51,843,0,1,True,51,843,0
exp1/ER_0.33/ER_0.33_28.apx,	51,1,True,43,833,0,1,True,43,833,0
exp1/ER_0.33/ER_0.33_5.apx,	51,1,True,41,820,0,1,True,41,820,0
exp1/ER_0.33/ER_0.33_11.apx,	51,1,True,51,859,0,1,True,51,859,0
exp1/ER_0.33/ER_0.33_30.apx,	51,1,True,40,788,0,1,True,40,788,0
exp1/ER_0.33/ER_0.33_20.apx,	51,1,True,51,850,0,1,True,51,850,0
exp1/ER_0.33/ER_0.33_34.apx,	51,1,True,51,856,0,1,True,51,856,0
exp1/ER_0.33/ER_0.33_25.apx,	51,1,True,51,853,0,1,True,51,853,0
exp1/ER_0.33/ER_0.33_16.apx,	51,1,True,42,804,0,1,True,42,804,0
exp1/ER_0.33/ER_0.33_40.apx,	51,1,True,51,834,0,1,True,51,834,0
exp1/ER_0.33/ER_0.33_27.apx,	51,1,True,51,861,0,1,True,51,861,0
exp1/ER_0.33/ER_0.33_36.apx,	51,1,True,44,837,0,1,True,44,837,0
exp1/ER_0.33/ER_0.33_22.apx,	51,1,True,51,870,0,1,True,51,870,0
exp1/ER_0.33/ER_0.33_24.apx,	51,1,True,42,812,0,1,True,42,812,0
exp1/ER_0.33/ER_0.33_2.apx,	51,1,True,51,852,0,1,True,51,852,0
exp1/ER_0.66/ER_0.66_7.apx,	51,1,True,51,424,0,1,True,51,424,0
exp1/ER_0.66/ER_0.66_16.apx,	51,1,True,51,438,0,1,True,51,438,0
exp1/ER_0.66/ER_0.66_9.apx,	51,1,True,51,420,0,1,True,51,420,0
